model,dataset,N,strategy,regret_kind,n_problems,regret_mean,regret_median,regret_std,regret_p25,regret_p75,regret_p90,regret_p95,regret_p99,regret_max,regret_gt_10pp,regret_gt_20pp
Qwen2.5-3B,aime2025,256,best_fixed_T,R1,26,0.001687182866729787,0.0,0.00450939831358988,0.0,0.0,0.006558368884725496,0.010495834038010798,0.017149999737739563,0.01899999938905239,0.0,0.0
Qwen2.5-3B,aime2025,256,best_fixed_T,R2,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-3B,aime2025,256,consensus_vote,R1,26,0.003848104503792012,0.0,0.010888335061752042,0.0,3.749999905267032e-05,0.010966667058567168,0.01674166640440623,0.04386803718134761,0.052290716445446014,0.0,0.0
Qwen2.5-3B,aime2025,256,consensus_vote,R2,26,0.0021609216370622247,0.0,0.010477060701830571,0.0,0.0,0.0,0.007999987554550114,0.04188469985226788,0.052290716445446014,0.0,0.0
Qwen2.5-3B,aime2025,256,equal_mix,R1,26,0.0034074634781509827,0.0,0.009908841574931935,0.0,0.0,0.009241667299345136,0.017149999737739563,0.03989553718134761,0.04686071644544602,0.0,0.0
Qwen2.5-3B,aime2025,256,equal_mix,R2,26,0.0017202806114211958,0.0,0.009318987911626987,0.0,0.0,0.0,0.003074987554550157,0.036170533185601234,0.04686071644544602,0.0,0.0
Qwen2.5-3B,aime2025,256,random_T,R1,26,0.021224952256838712,0.0,0.06444803517281777,0.0,3.749999905267032e-05,0.030369405634701252,0.1760046819690615,0.24593164026737213,0.2546333074569702,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,256,random_T,R2,26,0.019537769390108924,0.0,0.06393778472985226,0.0,0.0,0.022269405890256166,0.17592966952361166,0.24145658314228058,0.24869990348815918,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,512,T0.1,R1,26,0.001958460533597435,0.0,0.0083041643253838,0.0,0.0,0.0013750000507570803,0.004890000214800239,0.033117500017397106,0.042249999940395355,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.1,R2,26,0.0016249999977075136,0.0,0.008286099743606988,0.0,0.0,0.0,0.00014998018741607666,0.031737493351101875,0.042249999940395355,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.2,R1,26,0.0019430769344370884,0.0,0.008307584850119547,0.0,0.0,0.0012750000532832928,0.004890000214800239,0.033117500017397106,0.042249999940395355,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.2,R2,26,0.0016096163985471672,0.0,0.008289221907231347,0.0,0.0,0.0,0.0,0.031687499955296516,0.042249999940395355,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.3,R1,26,0.0019296153964555392,0.0,0.008270119935688616,0.0,0.0,0.0012000000569969416,0.004890000214800239,0.032967500021186424,0.04204999994544778,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.3,R2,26,0.001596154860565618,0.0,0.008251362350608096,0.0,0.0,0.0,0.0,0.031537499959085835,0.04204999994544778,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.4,R1,26,0.001253333287492681,0.0,0.004814031522781834,0.0,0.0,0.0013750000507570803,0.004890000214800239,0.01951749890577048,0.02411666512489319,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.4,R2,26,0.0009198727516027597,0.0,0.004731398158356804,0.0,0.0,0.0,0.0,0.01808749884366989,0.02411666512489319,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.5,R1,26,0.0016674358943978755,0.0,0.006879415422523155,0.0,0.0,0.0013750000507570803,0.004890000214800239,0.027592499740421772,0.034883332904428244,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.5,R2,26,0.001333975358507954,0.0,0.00684286535676506,0.0,0.0,0.0,0.0,0.026162499678321183,0.034883332904428244,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.6,R1,26,0.0003334605358899213,0.0,0.0011958227069302284,0.0,0.0,0.0002749867853708565,0.0018875000823754817,0.004890000214800239,0.005720000248402357,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.6,R2,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.7,R1,26,0.0017475648827922458,0.0,0.007042419502081008,0.0,0.0,0.0018000102136284113,0.004890000214800239,0.02825499977916479,0.035766666289418936,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.7,R2,26,0.0014141043469023246,0.0,0.007009315350927776,0.0,0.0,0.0,0.0007500350475311279,0.027075011399574578,0.035766666289418936,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.8,R1,26,0.0020492310958126416,0.0,0.00800763139124476,0.0,0.0,0.0023500120732933283,0.004890000214800239,0.032037500088335946,0.040810000034980476,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.8,R2,26,0.0017157705599227203,0.0,0.007990533590753253,0.0,0.0,0.000849992036819458,0.0020000338554382324,0.03113251263857819,0.040810000034980476,0.0,0.0
Qwen2.5-3B,aime2025,512,T0.9,R1,26,0.008508461436017219,0.0,0.0252847966862168,0.0,0.0,0.023935000095661962,0.05398754259113048,0.09898330271244049,0.11266660690307617,0.038461538461538464,0.0
Qwen2.5-3B,aime2025,512,T0.9,R2,26,0.008175000900127297,0.0,0.02535029590436889,0.0,0.0,0.021074999971460784,0.0538375624037144,0.09893330931663513,0.11266660690307617,0.038461538461538464,0.0
Qwen2.5-3B,aime2025,512,T1.0,R1,26,0.0482999986813341,0.0,0.17373798504093854,0.0,0.0,0.02222500002972083,0.31447497569024563,0.7056416571140289,0.8057833313941956,0.07692307692307693,0.07692307692307693
