model,dataset,N,T_star,n_problems
Phi-4-mini-instruct,aime2025,4,0.3,2
Phi-4-mini-instruct,aime2025,4,0.4,2
Phi-4-mini-instruct,aime2025,4,0.5,3
Phi-4-mini-instruct,aime2025,4,0.6,1
Phi-4-mini-instruct,aime2025,4,0.8,2
Phi-4-mini-instruct,aime2025,4,0.9,1
Phi-4-mini-instruct,aime2025,4,1.0,2
Phi-4-mini-instruct,aime2025,4,1.1,3
Phi-4-mini-instruct,aime2025,4,1.2,1
Phi-4-mini-instruct,aime2025,8,0.1,5
Phi-4-mini-instruct,aime2025,8,0.2,4
Phi-4-mini-instruct,aime2025,8,0.3,3
Phi-4-mini-instruct,aime2025,8,0.4,1
Phi-4-mini-instruct,aime2025,8,0.5,1
Phi-4-mini-instruct,aime2025,8,0.6,5
Phi-4-mini-instruct,aime2025,8,0.8,1
Phi-4-mini-instruct,aime2025,8,0.9,2
Phi-4-mini-instruct,aime2025,8,1.0,2
Phi-4-mini-instruct,aime2025,8,1.1,2
Phi-4-mini-instruct,aime2025,16,0.1,13
Phi-4-mini-instruct,aime2025,16,0.2,2
Phi-4-mini-instruct,aime2025,16,0.3,3
Phi-4-mini-instruct,aime2025,16,0.4,2
Phi-4-mini-instruct,aime2025,16,0.6,2
Phi-4-mini-instruct,aime2025,16,0.7,1
Phi-4-mini-instruct,aime2025,16,0.9,2
Phi-4-mini-instruct,aime2025,16,1.0,1
Phi-4-mini-instruct,aime2025,32,0.1,19
Phi-4-mini-instruct,aime2025,32,0.2,2
Phi-4-mini-instruct,aime2025,32,0.3,3
Phi-4-mini-instruct,aime2025,32,0.6,1
Phi-4-mini-instruct,aime2025,32,0.9,1
Phi-4-mini-instruct,aime2025,64,0.1,23
Phi-4-mini-instruct,aime2025,64,0.2,1
Phi-4-mini-instruct,aime2025,64,0.3,1
Phi-4-mini-instruct,aime2025,64,0.4,1
Phi-4-mini-instruct,aime2025,128,0.1,23
Phi-4-mini-instruct,aime2025,128,0.2,1
Phi-4-mini-instruct,aime2025,128,0.3,2
Phi-4-mini-instruct,aime2025,256,0.1,25
Phi-4-mini-instruct,aime2025,256,0.3,1
Phi-4-mini-instruct,aime2025,512,0.1,25
Phi-4-mini-instruct,aime2025,512,0.3,1
Phi-4-mini-instruct,aime2025,1024,0.1,25
Phi-4-mini-instruct,aime2025,1024,0.3,1
Phi-4-mini-instruct,aime2025,1536,0.1,25
Phi-4-mini-instruct,aime2025,1536,0.3,1
Phi-4-mini-instruct,aime2025,2048,0.1,25
Phi-4-mini-instruct,aime2025,2048,0.3,1
Phi-4-mini-instruct,aime2026,1,0.1,2
Phi-4-mini-instruct,aime2026,1,0.2,1
Phi-4-mini-instruct,aime2026,1,0.3,1
Phi-4-mini-instruct,aime2026,1,0.4,3
Phi-4-mini-instruct,aime2026,1,0.5,3
Phi-4-mini-instruct,aime2026,1,0.6,3
