model,dataset,stratum,level_n_problems,N,T,mean_acc,std_acc,source,dataset_family
Llama-3.2-3B,gsm8kfull,L2,62,32,1.2,0.586,0.032,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,64,0.1,1.0,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,64,0.2,0.962,0.018,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,64,0.3,0.911,0.015,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,64,0.4,0.906,0.024,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,64,0.5,0.911,0.015,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,64,0.6,0.911,0.008,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,64,0.7,0.917,0.011,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,64,0.8,0.925,0.02,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,64,0.9,0.917,0.011,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,64,1.0,0.914,0.015,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,64,1.1,0.793,0.029,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,64,1.2,0.589,0.02,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,128,0.1,1.0,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,128,0.2,0.962,0.015,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,128,0.3,0.919,0.013,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,128,0.4,0.898,0.015,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,128,0.5,0.906,0.02,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,128,0.6,0.919,0.013,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,128,0.7,0.922,0.011,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,128,0.8,0.935,0.013,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,128,0.9,0.938,0.011,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,128,1.0,0.911,0.012,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,128,1.1,0.782,0.022,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,128,1.2,0.583,0.022,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,256,0.1,1.0,0.0,markdown,gsm8kfull
