model,dataset,baseline,stratum,N,mean,std6,n_pids
Llama-3.2-3B,gsm8kfull,T0.5,L2,512,0.9210685485152788,0.001441215091504,62
Llama-3.2-3B,gsm8kfull,T0.5,L2,1024,0.924596774481958,0.0009542064816291,62
Llama-3.2-3B,gsm8kfull,T0.5,L2,1536,0.9275201610339584,0.0018245687059369,62
Llama-3.2-3B,gsm8kfull,T0.5,L2,2048,0.928360215278082,0.0018286485415892,62
Llama-3.2-3B,gsm8kfull,T0.6,L2,1,0.6189516130233964,0.0067713131236259,62
Llama-3.2-3B,gsm8kfull,T0.6,L2,2,0.623286289853915,0.008204182089805,62
Llama-3.2-3B,gsm8kfull,T0.6,L2,4,0.7538418488436808,0.0053446913436834,62
Llama-3.2-3B,gsm8kfull,T0.6,L2,8,0.8382071672002435,0.0072267638434203,62
Llama-3.2-3B,gsm8kfull,T0.6,L2,16,0.8850100826351873,0.0044791916070364,62
Llama-3.2-3B,gsm8kfull,T0.6,L2,32,0.8999664002093134,0.0022002611704192,62
Llama-3.2-3B,gsm8kfull,T0.6,L2,64,0.9103830646603338,0.0036194997708226,62
Llama-3.2-3B,gsm8kfull,T0.6,L2,128,0.9131720438849942,0.0017514426951112,62
Llama-3.2-3B,gsm8kfull,T0.6,L2,256,0.9161626343510204,0.002765601621025,62
Llama-3.2-3B,gsm8kfull,T0.6,L2,512,0.9138776883983644,0.0022210994052976,62
Llama-3.2-3B,gsm8kfull,T0.6,L2,1024,0.9159610215374218,0.0017824982301531,62
Llama-3.2-3B,gsm8kfull,T0.6,L2,1536,0.9157594087463554,0.0008401881174608,62
Llama-3.2-3B,gsm8kfull,T0.6,L2,2048,0.9143481182475244,0.0013519595961652,62
Llama-3.2-3B,gsm8kfull,T0.7,L2,1,0.603494622794691,0.006520133289547,62
Llama-3.2-3B,gsm8kfull,T0.7,L2,2,0.6129704303038056,0.0053867519491566,62
Llama-3.2-3B,gsm8kfull,T0.7,L2,4,0.7466845917966096,0.0050072699155335,62
Llama-3.2-3B,gsm8kfull,T0.7,L2,8,0.8319057242654425,0.0059461324425858,62
Llama-3.2-3B,gsm8kfull,T0.7,L2,16,0.879215951983927,0.0047572896004658,62
Llama-3.2-3B,gsm8kfull,T0.7,L2,32,0.9046987009945736,0.0039661587555253,62
Llama-3.2-3B,gsm8kfull,T0.7,L2,64,0.9194892483853524,0.0022547021646133,62
Llama-3.2-3B,gsm8kfull,T0.7,L2,128,0.9250672045539344,0.0021739319870159,62
Llama-3.2-3B,gsm8kfull,T0.7,L2,256,0.9286962364404712,0.0019366036270645,62
Llama-3.2-3B,gsm8kfull,T0.7,L2,512,0.9317204301415752,0.0013654221219325,62
