model,dataset,stratum,N,acc_t1p0_mean,acc_t1p0_std,acc_t0p1_mean,acc_t0p1_std,acc_random_t_mean
Phi-4-mini-instruct,math500,overall,8,0.5948453478070697,0.0049860091448701,0.611266619127901,0.0054065367607539,0.6053668546769078
Phi-4-mini-instruct,math500,overall,16,0.619318648987948,0.0038299021431631,0.6197481894203117,0.0044579481947916,0.6221653495928744
Phi-4-mini-instruct,math500,overall,32,0.6322122956296982,0.004052196196131,0.6250013660297976,0.0044384844036907,0.6331686432203611
Phi-4-mini-instruct,math500,overall,64,0.6380431853971907,0.0027957226215651,0.6275425947214102,0.0024362603669621,0.6383180111141086
Phi-4-mini-instruct,math500,overall,128,0.6391569672811616,0.0031600042298371,0.6292868591571672,0.0026131043458701,0.6398195008781529
Phi-4-mini-instruct,math500,overall,256,0.6395748989086587,0.0020066019504501,0.6280533064171853,0.0022567119928296,0.6406692816346743
Phi-4-mini-instruct,math500,overall,512,0.6399038461726361,0.0018115290114229,0.6274418016448216,0.0020290350256858,0.6418634732093602
Phi-4-mini-instruct,math500,overall,1024,0.6394554093852766,0.0010708529616529,0.6267164305685774,0.0013502269291854,0.6427547231315939
Phi-4-mini-instruct,math500,overall,1536,0.6392037787172421,0.0015049552208221,0.6261007085950937,0.0011682906874595,0.643672683251099
Phi-4-mini-instruct,math500,overall,2048,0.6392417341745967,0.0011786134573264,0.6258054993432091,0.0008335529015242,0.6425480766535463
Phi-4-mini-instruct,math500,overall_md_compat,1,0.4690775683268144,0.0068282061641405,0.5740828099442551,0.0061138937161914,0.5155398328277685
Phi-4-mini-instruct,math500,overall_md_compat,2,0.481747903539926,0.0042537307256402,0.5776729566532569,0.0042653709631179,0.5224580718721781
Phi-4-mini-instruct,math500,overall_md_compat,4,0.5630575973559419,0.0052220436407218,0.6142725086721164,0.0039266230538425,0.5878355785967438
Phi-4-mini-instruct,math500,overall_md_compat,8,0.6145244971766045,0.0049474860183173,0.6330518026188325,0.0055020362219329,0.6259687406803788
Phi-4-mini-instruct,math500,overall_md_compat,16,0.6395532072379053,0.0038528445511059,0.6418356510977652,0.0045366920689954,0.6431797059327051
Phi-4-mini-instruct,math500,overall_md_compat,32,0.6526766518228685,0.0041184046648585,0.6472760478379875,0.0045168844752635,0.6543702626874044
Phi-4-mini-instruct,math500,overall_md_compat,64,0.6586833222079983,0.002839430879725,0.6499078444284625,0.002479293747226,0.6597046069187456
